cas number,iso-SMILES,canonical-SMILES
306977-49-1,C1COCCN1C2=C(N=CC(=C2)C(F)(F)F)C(=O)C3=CC=C(C=C3)[N+](=O)[O-],C1COCCN1C2=C(N=CC(=C2)C(F)(F)F)C(=O)C3=CC=C(C=C3)[N+](=O)[O-]
2413885-70-6,CC(=O)C1=CSC(=N1)N2CCN(CC2)CC3=CC=CC=C3.Br,CC(=O)C1=CSC(=N1)N2CCN(CC2)CC3=CC=CC=C3.Br
338959-89-0,C1CCCN(CC1)C2=C(N=CC(=C2)C(F)(F)F)C(=O)C3=CC=C(C=C3)Cl,C1CCCN(CC1)C2=C(N=CC(=C2)C(F)(F)F)C(=O)C3=CC=C(C=C3)Cl
306977-48-0,CN1CCN(CC1)C2=C(N=CC(=C2)C(F)(F)F)C(=O)C3=CC=C(C=C3)[N+](=O)[O-],CN1CCN(CC1)C2=C(N=CC(=C2)C(F)(F)F)C(=O)C3=CC=C(C=C3)[N+](=O)[O-]
874195-61-6,CN(C1=C(C=CC=C1F)C(=O)C2=NC(=NC(=N2)OC)OC)S(=O)(=O)C(F)F,CN(C1=C(C=CC=C1F)C(=O)C2=NC(=NC(=N2)OC)OC)S(=O)(=O)C(F)F
54088-62-9,CCOC1=C(C=C(C=C1)C(=O)C2=NCCC3=CC(=C(C=C32)OCC)OCC)OCC,CCOC1=C(C=C(C=C1)C(=O)C2=NCCC3=CC(=C(C=C32)OCC)OCC)OCC
1677668-27-7,C1CC1C2=C(C(=CC=C2)Cl)C(=O)C3=NC(=C4N3C=CC=N4)C5=CC(=C(C=C5)C(=O)O)O,C1CC1C2=C(C(=CC=C2)Cl)C(=O)C3=NC(=C4N3C=CC=N4)C5=CC(=C(C=C5)C(=O)O)O
1227067-61-9,CC(=O)N1CCC(CC1)C2=NC=CN=C2OC3=CC=C(C=C3)C(=O)C4=NC5=CC=CC=C5N4,CC(=O)N1CCC(CC1)C2=NC=CN=C2OC3=CC=C(C=C3)C(=O)C4=NC5=CC=CC=C5N4
736175-49-8,CN(CCC(C1=CC=C(C=C1)Cl)OC2=CC=C(C=C2)C(=O)C3=NC=CS3)CC(=O)O,CN(CCC(C1=CC=C(C=C1)Cl)OC2=CC=C(C=C2)C(=O)C3=NC=CS3)CC(=O)O
2042347-69-1,CC(C)(CN(C1=CC(=C(C=C1F)F)Cl)C2=CN=C(C(=N2)OC)C(=O)[C@H]3C[C@@H]3C(=O)O)F,CC(C)(CN(C1=CC(=C(C=C1F)F)Cl)C2=CN=C(C(=N2)OC)C(=O)C3CC3C(=O)O)F
1677667-24-1,C1=CC2=C(N=C(N2C=C1)C(=O)C3=C(C=CC=C3Cl)C(F)(F)F)C4=CC(=C(C=C4)C(=O)O)O,C1=CC2=C(N=C(N2C=C1)C(=O)C3=C(C=CC=C3Cl)C(F)(F)F)C4=CC(=C(C=C4)C(=O)O)O
385436-79-3,CN(CCC(C1=CC=C(C=C1)Cl)OC2=CC=C(C=C2)C(=O)C3=NC=CS3)CC(=O)O.O.Cl,CN(CCC(C1=CC=C(C=C1)Cl)OC2=CC=C(C=C2)C(=O)C3=NC=CS3)CC(=O)O.O.Cl
