cas number,iso-SMILES,canonical-SMILES
566156-01-2,CC(C)(CC1=CC=CC=N1)N,CC(C)(CC1=CC=CC=N1)N
1241677-52-0,CCOC(=O)C(C)(CC1=CC=CC=C1Br)N.Cl,CCOC(=O)C(C)(CC1=CC=CC=C1Br)N.Cl
303037-43-6,COC(=O)CC1(CCSCC1)N.Cl,COC(=O)CC1(CCSCC1)N.Cl
145602-87-5,C1CN(CC1(C(=O)O)N)CC2=CC=CC=C2,C1CN(CC1(C(=O)O)N)CC2=CC=CC=C2
856563-66-1,C1CCC(C1)(C2=CC=CC=C2Cl)N,C1CCC(C1)(C2=CC=CC=C2Cl)N
1340231-17-5,C1CC1C(CN2C=C(C=N2)Br)(C(=O)O)N,C1CC1C(CN2C=C(C=N2)Br)(C(=O)O)N
215597-35-6,COC(=O)C1(CCC1)N,COC(=O)C1(CCC1)N
50289-05-9,C1CNCCC1(C#N)N,C1CNCCC1(C#N)N
1153056-62-2,C1CCC(CC1)(CNS(=O)(=O)C2=CNC=C2)N,C1CCC(CC1)(CNS(=O)(=O)C2=CNC=C2)N
126740-51-0,CC(C1=CC=C(C=C1)F)(C(=O)OC)N,CC(C1=CC=C(C=C1)F)(C(=O)OC)N
1037301-08-8,CCCCOC(=O)C1(CCOC1)N,CCCCOC(=O)C1(CCOC1)N
858603-76-6,CN(C)C(=O)C1(CCCC1)N,CN(C)C(=O)C1(CCCC1)N
1384427-85-3,CC(C)(C1=NC=NN1)N.Cl.Cl,CC(C)(C1=NC=NN1)N.Cl.Cl
104974-44-9,C1C[C@@](CC2=CC=CC=C21)(C(=O)O)N,C1CC(CC2=CC=CC=C21)(C(=O)O)N
851389-38-3,CC1(CCOCC1)N.Cl,CC1(CCOCC1)N.Cl
1249579-28-9,CC(CN1C=C(C=N1)Cl)(C(=O)N)N,CC(CN1C=C(C=N1)Cl)(C(=O)N)N
1934856-64-0,CC(C)(C)OC(=O)N1CCC(C1)(C(=O)N)N,CC(C)(C)OC(=O)N1CCC(C1)(C(=O)N)N
1392213-15-8,C1CC(C1)(CO)N.Cl,C1CC(C1)(CO)N.Cl
1393585-33-5,COC1=CC=CC(=C1)C(C(=O)O)(C(F)(F)F)N,COC1=CC=CC(=C1)C(C(=O)O)(C(F)(F)F)N
1344019-64-2,C1CCC(C1)(C2=NC=C(C=N2)Br)N,C1CCC(C1)(C2=NC=C(C=N2)Br)N
268749-51-5,C[C@@](C1=CC=CC=C1)(C(=O)O)N.Cl,CC(C1=CC=CC=C1)(C(=O)O)N.Cl
849035-91-2,CC(C)(C)OC(=O)N1CCC(CC1)(C2=C(C=C(C=C2)S(=O)(=O)C)[N+](=O)[O-])N,CC(C)(C)OC(=O)N1CCC(CC1)(C2=C(C=C(C=C2)S(=O)(=O)C)[N+](=O)[O-])N
27067-03-4,C1CC1(CC2=CC=CC=C2)N,C1CC1(CC2=CC=CC=C2)N
1779133-45-7,C1CNCCC1(CC2=CN=CC=C2)N.Cl.Cl.Cl,C1CNCCC1(CC2=CN=CC=C2)N.Cl.Cl.Cl
1503919-46-7,C1CC(C1)(C2=NC=C(S2)Br)N,C1CC(C1)(C2=NC=C(S2)Br)N
1250105-92-0,CC(CCN1C=CN=C1)(C(=O)OC)N,CC(CCN1C=CN=C1)(C(=O)OC)N
2126176-99-4,C1CC1(C2=CC3=C(C=C2)OCCO3)N.Cl,C1CC1(C2=CC3=C(C=C2)OCCO3)N.Cl
1779125-83-5,CC(C)(C)OC(=O)N1CCC(CC1)(C2=CC=C(C=C2)OC)N,CC(C)(C)OC(=O)N1CCC(CC1)(C2=CC=C(C=C2)OC)N
1340090-28-9,CC(C)(C1=NC(=NN1C)C2=CC=CS2)N,CC(C)(C1=NC(=NN1C)C2=CC=CS2)N
1439899-51-0,CC1=CC=CC=C1C(C)(C)N.Cl,CC1=CC=CC=C1C(C)(C)N.Cl
1499551-29-9,COC1=C(C=CC(=C1)C2(CCCC2)N)Cl,COC1=C(C=CC(=C1)C2(CCCC2)N)Cl
2149601-46-5,C1CC1(C2=C(C=NC=C2)Cl)N.Cl,C1CC1(C2=C(C=NC=C2)Cl)N.Cl
1536216-77-9,CCOC(=O)CC(C)(C1=CC=NC=C1)N,CCOC(=O)CC(C)(C1=CC=NC=C1)N
1038378-59-4,CC1(CCC(C2=CC=CC=C21)(C(=O)O)N)C,CC1(CCC(C2=CC=CC=C21)(C(=O)O)N)C
1179977-55-9,CC(CO)(C1=CC(=CC=C1)Cl)N,CC(CO)(C1=CC(=CC=C1)Cl)N
630421-49-7,C=C[C@@H]1C[C@@]1(C(=O)NS(=O)(=O)C2CC2)N.Cl,C=CC1CC1(C(=O)NS(=O)(=O)C2CC2)N.Cl
1250502-20-5,CN1C(=NC=N1)C2(CCCC2)N,CN1C(=NC=N1)C2(CCCC2)N
1613721-23-5,C[C@@]1(CCN(C1)C(=O)OC(C)(C)C)N,CC1(CCN(C1)C(=O)OC(C)(C)C)N
1370606-50-0,C1CC(CCC1(C#N)N)(F)F,C1CC(CCC1(C#N)N)(F)F
1341863-04-4,CC1=NN(C=C1)CC(C)(C(=O)O)N,CC1=NN(C=C1)CC(C)(C(=O)O)N
1340130-72-4,CC(C)(CC(=O)NC(C)(C)CC(=O)O)N,CC(C)(CC(=O)NC(C)(C)CC(=O)O)N
1183692-37-6,COC(=O)C1(CCOC2=CC=CC=C21)N,COC(=O)C1(CCOC2=CC=CC=C21)N
1209947-02-3,C1CC1(C2=C(C=CC(=C2)F)F)N,C1CC1(C2=C(C=CC(=C2)F)F)N
1184265-68-6,CC(CN1C=CN=C1)NC(=O)C2(CCCC2)N,CC(CN1C=CN=C1)NC(=O)C2(CCCC2)N
933730-40-6,CC(C)(CCCN1CCOCC1)N,CC(C)(CCCN1CCOCC1)N
1384265-59-1,C1CC1(C2=NC=CC(=C2)Cl)N.Cl.Cl,C1CC1(C2=NC=CC(=C2)Cl)N.Cl.Cl
1341558-23-3,C1CCC(C1)(C2=NC=CC=N2)N,C1CCC(C1)(C2=NC=CC=N2)N
1247502-94-8,CC(CCCCN1C=C(C=N1)Br)(C(=O)O)N,CC(CCCCN1C=C(C=N1)Br)(C(=O)O)N
1247217-44-2,CCN1C=C(C=N1)C2(CCCC2)N,CCN1C=C(C=N1)C2(CCCC2)N
1706463-15-1,C1C(CO1)(C2=CC(=CC=C2)[N+](=O)[O-])N.Cl,C1C(CO1)(C2=CC(=CC=C2)[N+](=O)[O-])N.Cl
1311317-31-3,CCC(CC)(CNC(=O)OC(C)(C)C)N,CCC(CC)(CNC(=O)OC(C)(C)C)N
530116-33-7,CC(C)(C)OC(=O)N1CCC(CC1)C(C)(C)N,CC(C)(C)OC(=O)N1CCC(CC1)C(C)(C)N
1341797-04-3,CC1=CC(=C(C=C1)C2(CCCC2)N)C,CC1=CC(=C(C=C1)C2(CCCC2)N)C
1155103-86-8,C1COCCC1(C2=NOC=N2)N,C1COCCC1(C2=NOC=N2)N
145090-28-4,C1CN(CC1(C#N)N)CC2=CC=CC=C2,C1CN(CC1(C#N)N)CC2=CC=CC=C2
1423034-45-0,CC1(CCOC1)N.Cl,CC1(CCOC1)N.Cl
792855-86-8,CC(COC)(C#N)N,CC(COC)(C#N)N
2173391-71-2,CC(C)(C12CC(C1)(C2)N)O.Cl,CC(C)(C12CC(C1)(C2)N)O.Cl
127958-75-2,CC(C)(COCC(=O)O)N,CC(C)(COCC(=O)O)N
324796-27-2,C1CC1(C(=O)N)N.Cl,C1CC1(C(=O)N)N.Cl
875310-92-2,C1CC2(CC(C1)(C2)N)N.Cl.Cl,C1CC2(CC(C1)(C2)N)N.Cl.Cl
1334149-29-9,C1CCC(CC1)(C2=NC(=CC(=O)N2)C(F)(F)F)N.Cl,C1CCC(CC1)(C2=NC(=CC(=O)N2)C(F)(F)F)N.Cl
6269-79-0,CC1=CC=C(C=C1)C(C)(C(=O)O)N,CC1=CC=C(C=C1)C(C)(C(=O)O)N
1489578-36-0,C1CC1(CC2=C(C=CC(=C2)Br)F)N,C1CC1(CC2=C(C=CC(=C2)Br)F)N
